Company name,Valuation (in $B),Date Joined,Country of origin,City,Industry,Investors,Longitude,Latitude,longitude,latitude,lon,lat
XANT,1.65,28-04-2014,United States,Lehi,Artificial intelligence,"Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers",-100.4458825,39.7837304,-100.4458825,39.7837304,-1.6800198,48.1113387
wefox,1.65,05-03-2019,Germany,Berlin,Fintech,"Salesforce Ventures, Seedcamp, OMERS Ventures",10.4234469,51.0834196,10.4234469,51.0834196,13.3888599,52.5170365
Trader Interactive,1.63,12-05-2021,United States,Norfolk,Other,Carsales,-100.4458825,39.7837304,-100.4458825,39.7837304,1,52.666667
Jusfoun Big Data,1.62,09-07-2018,China,Beijing,Data management & analytics,"Boxin Capital, DT Capital Partners, IDG Capital",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Zhubajie,1.61,16-06-2015,China,Chongqing,Internet software & services,"Cybernaut Growth Fund, IDG Capital",104.999927,35.000074,104.999927,35.000074,106.5478767,29.5647398
Monzo,1.61,31-10-2018,United Kingdom,London,Fintech,"Passion Capital, Thrive Capital, Orange Digital Ventures",-3.2765753,54.7023545,-3.2765753,54.7023545,-0.1276474,51.5073219
Infinidat,1.6,29-04-2015,United States,Waltham,Hardware,"TPG Growth, Goldman Sachs",-100.4458825,39.7837304,-100.4458825,39.7837304,-71.2358004,42.3756401
Afiniti,1.6,14-04-2017,Bermuda,Hamilton,Artificial intelligence,GAM Holding,-64.7603583,32.3018217,-64.7603583,32.3018217,-79.8728583,43.2560802
CAOCAO,1.6,17-01-2018,China,Hangzhou,Auto & transportation,"People Electrical Appliance Group China, Zhongrong International Trust",104.999927,35.000074,104.999927,35.000074,120.2052342,30.2489634
sweetgreen,1.6,13-11-2018,United States,Culver City,Consumer & retail,"Red Sea Ventures, Fidelity Investments, Revolution",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.396466,34.0211224
Seismic,1.6,18-12-2018,United States,San Diego,Internet software & services,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-117.1627728,32.7174202
Verkada,1.6,29-01-2020,United States,San Mateo,Cybersecurity,"next47, First Round Capital, Sequoia Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.3330573,37.496904
ASR Microelectronics,1.6,30-04-2020,China,Shanghai,Hardware,"Shenzhen Capital Group, Sequoia Capital China, Hillhouse Capital Management",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Clari,1.6,03-03-2021,United States,Sunnyvale,Internet software & services,"Sequoia Capital, Bain Capital Ventures, enaya Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.036349,37.3688301
Ramp Financial,1.6,29-03-2021,United States,New York,Fintech,"D1 Capital Partners, Stripe, Coatue Management",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Tonal,1.6,31-03-2021,United States,Sacramento,E-commerce & direct-to-consumer,"Mayfield Fund, Shasta Ventures, L Catterton",-100.4458825,39.7837304,-100.4458825,39.7837304,-121.493895,38.5810606
Skims,1.6,09-04-2021,United States,Culver City,E-commerce & direct-to-consumer,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.396466,34.0211224
Clio,1.6,27-04-2021,Canada,Burnaby,Internet software & services,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures",-107.991707,61.0666922,-107.991707,61.0666922,-122.9725459,49.2433804
SafetyCulture,1.6,03-05-2021,Australia,Sydney,Internet software & services,"Blackbird Ventures, IndexVentures, Tiger Global Management",134.755,-24.7761086,134.755,-24.7761086,151.2164539,-33.8548157
Extend,1.6,18-05-2021,United States,San Francisco,Fintech,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
ASAPP,1.6,19-05-2021,United States,New York,Artificial Intelligence,"March Capital Partners, HOF Capital, Emergence Capital Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Cognite,1.6,19-05-2021,Norway,Lysaker,Data management & analytics,"Technology Crossover Ventures, Accel, Aker",9.0999715,60.5000209,9.0999715,60.5000209,10.6365628,59.9130129
SmartHR,1.6,08-06-2021,Japan,Tokyo,Fintech,"BEENEXT, World Innovation Lab, Light Street Capital",139.2394179,36.5748441,139.2394179,36.5748441,139.7594549,35.6828387
Promasidor Holdings,1.59,08-11-2016,South Africa,Bryanston,Consumer & retail,"IFC, Ajinomoto",24.991639,-28.8166236,24.991639,-28.8166236,-2.1848705,50.8599713
Illumio,1.57,14-04-2015,United States,Sunnyvale,Cybersecurity,"Data Collective, Formation 8, General Catalyst Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.036349,37.3688301
Baiwang,1.55,25-03-2019,China,Beijing,Fintech,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Loom,1.53,20-05-2021,United States,San Francisco,Internet software & services,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Ximalaya FM,1.52,22-09-2017,China,Shanghai,Mobile & telecommunications,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Mu Sigma,1.5,07-02-2013,United States,Northbrook,Data management & analytics,"Sequoia Capital, General Atlantic",-100.4458825,39.7837304,-100.4458825,39.7837304,-87.8265089,42.128704
ironSource,1.5,11-08-2014,Israel,Tel Aviv,Mobile & telecommunications,"Access Industries, Clal Industries and Investments",34.8667654,31.5313113,34.8667654,31.5313113,34.7818064,32.0852997
TuJia,1.5,17-06-2015,China,Beijing,Travel,"GGV Capital, QiMing Venture Partnersl",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Mofang Living,1.5,13-04-2016,China,Shanghai,E-commerce & direct-to-consumer,"Warburg Pincus, Aviation Industry Corporation of China",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Gett,1.5,24-05-2016,Israel,Tel Aviv,Auto & transportation,"Volkswagen, Access Industries, Vostok New Ventures",34.8667654,31.5313113,34.8667654,31.5313113,34.7818064,32.0852997
DT Dream,1.5,08-06-2017,China,Hangzhou,Data management & analytics,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",104.999927,35.000074,104.999927,35.000074,120.2052342,30.2489634
Cybereason,1.5,21-06-2017,United States,Boston,Cybersecurity,"SoftBank Group, CRV, Spark Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-71.0582912,42.3602534
Changingedu,1.5,30-10-2017,China,Shanghai,Edtech,"Trustbridge Partners, IDG Capital, Sequoia Capital China",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
XiaoZhu,1.5,01-11-2017,China,Beijing,Travel,"Morningside Ventures, Capital Today, JOY Capital",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
JOLLY Information Technology,1.5,29-05-2018,China,Hangzhou,E-commerce & direct-to-consumer,"Legend Capital, CDH Investments, Sequoia Capital China",104.999927,35.000074,104.999927,35.000074,120.2052342,30.2489634
Yijiupi,1.5,20-09-2018,China,Beijing,Consumer & retail,"Source Code Capital, Meituan Dianping, Tencent Holdings",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Cambridge Mobile Telematics,1.5,19-12-2018,United States,Cambridge,Mobile & telecommunications,SoftBank Group,-100.4458825,39.7837304,-100.4458825,39.7837304,0.1235817,52.2034823
Remitly,1.5,10-07-2019,United States,Seattle,Fintech,"DN Capital, Threshold Ventures, Trilogy Equity Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.3300624,47.6038321
Hippo Insurance,1.5,24-07-2019,United States,Palo Alto,Fintech,"Propel Venture Partners, Horizons Ventures, Comcast Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.1598465,37.4443293
Lenskart,1.5,20-12-2019,India,Faridabad,E-commerce & direct-to-consumer,"Chiratae Ventures, PremjiInvest, Softbank",78.6677428,22.3511148,78.6677428,22.3511148,77.3103837,28.4029786
Podium,1.5,07-04-2020,United States,Lehi,Internet software & services,"Accel, Summit Partners, Google Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-1.6800198,48.1113387
ApplyBoard,1.5,05-05-2020,Canada,Kitchener,Edtech,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",-107.991707,61.0666922,-107.991707,61.0666922,-80.4927815,43.451291
Mirakl,1.5,22-09-2020,France,Paris,E-commerce & direct-to-consumer,"Elaia Partners, 83North, Felix Capital",1.8883335,46.603354,1.8883335,46.603354,2.3514616,48.8566969
Strava,1.5,16-11-2020,United States,San Francisco,Internet software & services,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Olive,1.5,01-12-2020,United States,Columbus,Internet software & services,"Drive Capital, General Catalyst, Ascension Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-83.0007065,39.9622601
Color,1.5,04-01-2021,United States,Burlingame,Health,"General Catalyst, Viking Global Investors, T. Rowe Price",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.3660825,37.5841026
Enfusion,1.5,11-01-2021,United States,Chicago,Fintech,FTV Capital,-100.4458825,39.7837304,-100.4458825,39.7837304,-87.6244212,41.8755616
K Health,1.5,19-01-2021,United States,New York,Health,"Max Ventures, Mangrove Capital Partners, 14W",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Uplight,1.5,03-03-2021,United States,Boulder,Other,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-105.270545,40.0149856
ID.me,1.5,19-03-2021,United States,McLean,Cybersecurity,"Moonshots Capital, BoxGroup, Blu Venture Investors",-100.4458825,39.7837304,-100.4458825,39.7837304,-88.8196613,40.4631789
Collective Health,1.5,17-06-2019,United States,San Francisco,Fintech,"New Enterprise Associates, Founders Fund, Google Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Handshake,1.5,12-05-2021,United States,San Francisco,Internet software & services,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Snapdocs,1.5,25-05-2021,United States,San Francisco,Fintech,"Sequoia Capital, Y Combinator, F-Prime Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Chipper Cash,1.5,25-05-2021,United States,San Francisco,Fintech,"Deciens Capital, Bezos Expeditions, 500 Startups",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Ledger,1.5,10-06-2021,France,Paris,Hardware,"Digital Currency Group, Draper Esprit, Korelya Capital",1.8883335,46.603354,1.8883335,46.603354,2.3514616,48.8566969
Yipin Shengxian,1.49,11-03-2019,China,Hefei,E-commerce & direct-to-consumer,"Eastern Bell Capital, Capital Today, Longzhu Capital",104.999927,35.000074,104.999927,35.000074,117.2218033,31.8228094
ECARX,1.49,26-10-2020,China,Wuhan,Auto & transportation,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",104.999927,35.000074,104.999927,35.000074,114.2999353,30.5951051
Bordrin Motors,1.48,03-06-2019,China,Shanghai,Auto & transportation,"China Grand Prosperity Investment, CSC Group",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Coocaa,1.45,16-03-2018,China,Shenzhen,Hardware,"Baidu, Tencent Holdings",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Juma Peisong,1.45,26-11-2018,China,Chengdu,"Supply chain, logistics, & delivery","Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital",104.999927,35.000074,104.999927,35.000074,104.0633717,30.6598628
Ouyeel,1.45,27-06-2019,China,Shanghai,Internet software & services,Taigang Venture Capital,104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Gymshark,1.45,14-08-2020,United Kingdom,Solihull,E-commerce & direct-to-consumer,General Atlantic,-3.2765753,54.7023545,-3.2765753,54.7023545,-1.7768935,52.4130189
Brii BioSciences,1.45,23-03-2021,United States,Durham,Health,"Sequoia Capital China, GIC, Boyu Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-78.9018053,35.996653
Zeta,1.45,24-05-2021,United States,San Francisco,Fintech,"Sodexo Ventures, SoftBank Group",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Justworks,1.43,28-01-2020,United States,New York,Internet software & services,"Index Ventures, Thrive Capital, Bain Capital Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Koudai,1.4,23-10-2014,China,Beijing,E-commerce & direct-to-consumer,"Norwest Venture Partners, Sequoia Capital India, KKR",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Symphony,1.4,16-05-2017,United States,New York,Fintech,"BNP Paribas, Goldman Sachs, Google",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Yidian Zixun,1.4,17-10-2017,China,Beijing,Mobile & telecommunications,"Phoenix New Media, Tianjin Haihe Industry Fund",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Cabify,1.4,22-01-2018,Spain,Madrid,Auto & transportation,"Seaya Ventures, Otter Rock Capital, Rakuten",-4.8379791,39.3260685,-4.8379791,39.3260685,-3.7035825,40.4167047
Hive Box,1.4,23-01-2018,China,Shenzhen,"Supply chain, logistics, & delivery","Eastern Bell Capital, SF Holding Co, STO Express",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Deezer,1.4,02-08-2018,France,Paris,Internet software & services,"Orange Digital Ventures, Access Industries",1.8883335,46.603354,1.8883335,46.603354,2.3514616,48.8566969
Away,1.4,15-05-2019,United States,New York,E-commerce & direct-to-consumer,"Global Founders Capital, Comcast Ventures, Forerunner Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Voodoo,1.4,17-08-2020,France,Paris,Other,"Tencent Holdings, Goldman Sachs",1.8883335,46.603354,1.8883335,46.603354,2.3514616,48.8566969
Kong,1.4,31-12-2020,United States,San Francisco,Internet software & services,"New Enterprise Associates, CRV, Index Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
OwnBackup,1.4,28-01-2021,United States,Englewood Cliffs,Data management & analytics,"Insight Partners, Salesforce Ventures, Vertex Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-73.9523597,40.8853773
Epidemic Sound,1.4,11-03-2021,Sweden,Stockholm,Internet software & services,"EQT Partners, Blackstone",14.5208584,59.6749712,14.5208584,59.6749712,18.0710935,59.3251172
Yotpo,1.4,18-03-2021,United States,New York,Internet software & services,"Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Five Star Business Finance,1.4,26-03-2021,India,Chennai,Other,"New Enterprise Associates, Tiger Global management, Tencent",78.6677428,22.3511148,78.6677428,22.3511148,80.270186,13.0836939
Phenom People,1.4,07-04-2021,United States,Ambler,Internet software & services,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,11.146774,46.395412
GupShup,1.4,08-04-2021,United States,San Francisco,Internet software & services,"Helion Venture Partners, Tiger Global management, CRV",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Degreed,1.4,13-04-2021,United States,Pleasanton,Edtech,"Signal Peak Ventures, Owl Ventures, Jump Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-121.8746789,37.6624312
Astranis Space Technologies,1.4,14-04-2021,United States,San Francisco,Mobile & telecommunications,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
ChargeBee Technologies,1.4,20-04-2021,United States,Walnut,Fintech,"Insight Partners, Tiger Global Management, Accel",-100.4458825,39.7837304,-100.4458825,39.7837304,-117.7926096,33.7085883
Scalable Capital,1.4,08-06-2021,Germany,Munich,Fintech,"BlackRock, Tengelmann Ventures, Holtzbrinck Ventures",10.4234469,51.0834196,10.4234469,51.0834196,11.5753822,48.1371079
Veepee,1.38,20-07-2007,France,Paris,E-commerce & direct-to-consumer,"Summit Partners, Qatar Holding",1.8883335,46.603354,1.8883335,46.603354,2.3514616,48.8566969
DeepBlue Technology,1.35,16-04-2018,China,Shanghai,Artificial intelligence,"DESUN Capital, Yunfeng Capital, Meridian Capital",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Klook,1.35,07-08-2018,Hong Kong,,Travel,"Sequoia Capital China, Goldman Sachs, Matrix Partners China",114.1628131,22.2793278,114.1628131,22.2793278,11.0480288,46.3144754
Rippling,1.35,04-08-2020,United States,San Francisco,Internet software & services,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Plume,1.35,23-02-2021,United States,Palo Alto,Internet software & services,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.1598465,37.4443293
Melio,1.34,25-01-2021,Israel,Tel Aviv,Fintech,"Accel, Aleph, American Express Ventures",34.8667654,31.5313113,34.8667654,31.5313113,34.7818064,32.0852997
Signifyd,1.34,15-04-2021,United States,San Jose,Fintech,"Menlo Ventures, Resolute Ventures, IA Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-121.890583,37.3361905
Flipboard,1.32,22-07-2015,United States,Palo Alto,Internet software & services,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.1598465,37.4443293
Grove Collaborative,1.32,17-01-2018,United States,San Francisco,E-commerce & direct-to-consumer,"MHS Capital, NextView Ventures, Mayfield Fund",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
GPclub,1.32,22-10-2018,South Korea,Seoul,Other,Goldman Sachs,127.6961188,36.638392,127.6961188,36.638392,126.9782914,37.5666791
Tongdun Technology,1.32,25-04-2019,China,Hangzhou,Cybersecurity,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co.",104.999927,35.000074,104.999927,35.000074,120.2052342,30.2489634
Alzheon,1.31,30-09-2020,United States,Framingham,Health,"ARCH Venture Partners, Ally Bridge Group",-100.4458825,39.7837304,-100.4458825,39.7837304,-71.4413097,42.3095704
Zeta Global,1.3,15-07-2015,United States,New York,Internet software & services,"GSO Capital Partners, Franklin Square",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Rocket Lab,1.3,21-03-2017,United States,Long Beach,Other,"Lockheed Martin, Khosla Ventures, Bessemer Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.191604,33.7690164
HeartFlow,1.3,04-12-2017,United States,Redwood City,Health,"BlueCross BlueShield Venture Partners, US Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.232523,37.4863239
Sonder,1.3,11-07-2019,United States,San Francisco,Travel,"Structure Capital, Spark Capital, Greylock Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Trax,1.3,22-07-2019,Singapore,,Artificial intelligence,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures",103.8194992,1.357107,103.8194992,1.357107,11.0480288,46.3144754
You & Mr Jones,1.3,19-11-2019,United States,New York,Other,Undisclosed,-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
InSightec,1.3,06-03-2020,Israel,Tirat Carmel,Health,"York Capital Management, GE Healthcare, Koch Disruptive Technologies",34.8667654,31.5313113,34.8667654,31.5313113,34.9715506,32.7613834
Arctic Wolf Networks,1.3,22-10-2020,United States,Eden Prairie,Cybersecurity,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",-100.4458825,39.7837304,-100.4458825,39.7837304,-93.470786,44.8546856
Everly Health,1.3,03-12-2020,United States,Austin,E-commerce & direct-to-consumer,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-97.7436995,30.2711286
Manner,1.3,24-12-2020,China,Shanghai,Other,"Coatue Management, H Capital, Capital Today",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Innovaccer,1.3,19-02-2021,United States,San Francisco,Health,"M12, WestBridge Capital, Lightspeed Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Socure,1.3,16-03-2021,United States,New York,Cybersecurity,"Two Sigma Ventures, Flint Capital, Commerce Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Coalition,1.3,16-03-2021,United States,San Francisco,Cybersecurity,"Ribbit Capital, General Atlantic, Index Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
ABL Space Systems,1.3,25-03-2021,United States,El Segundo,Other,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.4156337,33.917028
Outschool,1.3,14-04-2021,United States,San Francisco,Edtech,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Starry,1.29,03-07-2018,United States,Boston,Mobile & telecommunications,"Social Capital, Bessemer Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-71.0582912,42.3602534
Intercom,1.28,27-03-2018,United States,San Francisco,Internet software & services,"FirstMark Capital, Tiger Global Management",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
OVO Energy,1.28,14-02-2019,United Kingdom,Bristol,Other,"Mitsubishi Corporation, Mayfair Equity Partners",-3.2765753,54.7023545,-3.2765753,54.7023545,-2.5972985,51.4538022
WTOIP,1.27,08-04-2018,China,Guangzhou,Internet software & services,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital",104.999927,35.000074,104.999927,35.000074,113.2592945,23.1301964
ezCater,1.25,02-04-2019,United States,Boston,"Supply chain, logistics, & delivery","Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group",-100.4458825,39.7837304,-100.4458825,39.7837304,-71.0582912,42.3602534
KeepTruckin,1.25,23-04-2019,United States,San Francisco,"Supply chain, logistics, & delivery","Google Ventures, Index Ventures, Scale Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Applied Intuition,1.25,22-10-2020,United States,Sunnyvale,Data management & analytics,"Andreessen Horowitz, Lux Capital, General Catalyst",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.036349,37.3688301
BigID,1.25,16-12-2020,United States,New York,Cybersecurity,"BOLDstart Ventures, SAP.iO Fund, Scale Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Rec Room,1.25,23-03-2021,United States,Seattle,Internet software & services,"First Round Capital, Sequoia Capital, Index Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.3300624,47.6038321
Deel,1.25,21-04-2021,United States,San Francisco,Fintech,"Andreessen Horowitz, Spark Capital, Y Combinator",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
BrewDog,1.24,10-04-2017,United Kingdom,Aberdeen,Consumer & retail,"TSG Consumer Partners, Crowdcube",-3.2765753,54.7023545,-3.2765753,54.7023545,-2.0928095,57.1482429
EQRx,1.23,11-01-2021,United States,Cambridge,Health,"Nextech Invest, Casdin Capital, Google Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,0.1235817,52.2034823
GalaxySpace,1.22,17-11-2020,China,Beijing,Mobile & telecommunications,"Shunwei Capital Partners, 5Y Capital, Legend Capital",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Judo Bank,1.21,23-12-2020,Australia,Melbourne,Fintech,"Ironbridge Capital, OPTrust, Myer Family Investments",134.755,-24.7761086,134.755,-24.7761086,144.9631608,-37.8142176
Yiguo,1.2,09-11-2016,China,Shanghai,"Supply chain, logistics, & delivery","Alibaba Group, KKR, Goldman Sachs",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Fair,1.2,20-12-2018,United States,Santa Monica,Auto & transportation,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.4912273,34.0194704
Glossier,1.2,19-03-2019,United States,New York,Consumer & retail,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Zipline,1.2,20-05-2019,United States,South San Francisco,"Supply chain, logistics, & delivery","Sequoia Capital, Baillie Gifford & Co., Google Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.4168664,37.6535403
SmartNews,1.2,05-08-2019,Japan,Tokyo,Mobile & telecommunications,"Japan Post Capital, Globis Capital Partners, Atomico",139.2394179,36.5748441,139.2394179,36.5748441,139.7594549,35.6828387
Workhuman,1.2,23-06-2020,Ireland,Dublin,Internet software & services,ICG,-7.9794599,52.865196,-7.9794599,52.865196,-6.2602732,53.3497645
FiveTran,1.2,30-06-2020,United States,Oakland,Data management & analytics<,"Matrix Partners, Andreessen Horowitz, General Catalyst",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.2713563,37.8044557
Qumulo,1.2,16-07-2020,United States,Seattle,Data management & analytics,"Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.3300624,47.6038321
Dialpad,1.2,06-10-2020,United States,San Francisco,Internet software & services,"Andreessen Horowitz, Google Ventures, Section 32",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Whoop,1.2,28-10-2020,United States,Boston,E-commerce & direct-to-consumer,"NextView Ventures, Promus Ventures, Two Sigma Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-71.0582912,42.3602534
Starburst,1.2,06-01-2021,United States,Boston,Data management & analytics,"Index Ventures, Coatue Management, Andreessen Horowitz",-100.4458825,39.7837304,-100.4458825,39.7837304,-71.0582912,42.3602534
Tealium,1.2,03-02-2021,United States,San Diego,Internet software & services,"Georgian Partners, Silver Lake, Presidio Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-117.1627728,32.7174202
Public,1.2,17-02-2021,United States,New York,Fintech,"Accel, Greycroft, Advancit Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Axonius,1.2,01-03-2021,United States,New York,Cybersecurity,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Savage X Fenty,1.2,16-03-2021,United States,New York,E-commerce & direct-to-consumer,"L Catterton, Marcy Venture Partners, Advent International",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Bitpanda,1.2,16-03-2021,Austria,Vienna,Fintech,"Speedinvest, Valar Ventures, Uniqa Ventures",13.2,47.2,13.2,47.2,16.3725042,48.2083537
Orca Security,1.2,23-03-2021,Israel,Tel Aviv-Yafo,Cybersecurity,"Redpoint Ventures, capitalG, ICONIQ Growth",34.8667654,31.5313113,34.8667654,31.5313113,34.7818064,32.0852997
Pilot.com,1.2,26-03-2021,United States,San Francisco,Fintech,"Index Ventures, Sequoia Capital, Bezos Expeditions",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
