Country of origin,latitude,longitude
Malaysia,2.5,112.5
Mozambique,-18.25,35
Namibia,-22,17
New Caledonia,-21.5,165.5
Niger,16,8
Norfolk Island,-29.03,167.95
Nigeria,10,8
Nicaragua,13,-85
Netherlands,52.5,5.75
Norway,62,10
Nepal,28,84
Nauru,-0.53,166.92
Niue,-19.03,-169.87
New Zealand,-41,174
Oman,21,57
Panama,9,-80
Peru,-10,-76
French Polynesia,-15,-140
Papua New Guinea,-6,147
Philippines,13,122
Pakistan,30,70
Poland,52,20
Saint Pierre and Miquelon,46.83,-56.33
Puerto Rico,18.25,-66.5
Palestinian Territory,32,35.25
Portugal,39.5,-8
Palau,7.5,134.5
Paraguay,-23,-58
Qatar,25.5,51.25
Reunion,-21.1,55.6
Romania,46,25
Serbia,44,21
Russian Federation,60,100
Rwanda,-2,30
Saudi Arabia,25,45
Solomon Islands,-8,159
Seychelles,-4.58,55.67
Sudan,15,30
Sweden,62,15
Singapore,1.37,103.8
Saint Helena,-15.93,-5.7
Slovenia,46,15
Svalbard and Jan Mayen,78,20
Slovakia,48.67,19.5
Sierra Leone,8.5,-11.5
San Marino,43.77,12.42
Senegal,14,-14
Somalia,10,49
Suriname,4,-56
Sao Tome and Principe,1,7
El Salvador,13.83,-88.92
Syrian Arab Republic,35,38
Swaziland,-26.5,31.5
Turks and Caicos Islands,21.75,-71.58
Chad,15,19
French Southern Territories,-43,67
Togo,8,1.17
Thailand,15,100
Tajikistan,39,71
Tokelau,-9,-172
Turkmenistan,40,60
Tunisia,34,9
Tonga,-20,-175
Turkey,39,35
Trinidad and Tobago,11,-61
Tuvalu,-8,178
Taiwan,23.5,121
"Tanzania, United Republic of",-6,35
Ukraine,49,32
Uganda,1,32
United States Minor Outlying Islands,19.28,166.6
United States,38,-97
Uruguay,-33,-56
Uzbekistan,41,64
Holy See (Vatican City State),41.9,12.45
Saint Vincent and the Grenadines,13.25,-61.2
Venezuela,8,-66
"Virgin Islands, British",18.5,-64.5
"Virgin Islands, U.S.",18.33,-64.83
Vietnam,16,106
Vanuatu,-16,167
Wallis and Futuna,-13.3,-176.2
Samoa,-13.58,-172.33
Yemen,15,48
Mayotte,-12.83,45.17
South Africa,-29,24
Zambia,-15,30
Zimbabwe,-20,30
South Korea,36.64,127.7
